id,Name,Description,Status,Author,Folder,Run_status,last run,created at,updated at,Tags,Sub-Component,Component,Level,Comments,Step name,Step description,Step expected_results,Step position
16,Comment - Edit,"",Automated,Shiran Dadon,,PASSED,23-Apr-2019  14:17,27-Feb-2019  19:27,29-Mar-2019  06:06,"",Moderation,Conversation,Sanity,"","Testing the ability to update a comment.
Edit -  is a feature that lets the user change their comment after they clicking post.","1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)write a comment
4)Click ""post""
5)Hover over the comment
6)Click on the context menu icon
7)Choose edit
8)Change the comment
9)Click update","1)After clicking edit - a SayCtrl will appear with the comment the user wants to update
2)After clicking update the new text will appear in the conversation, and ""edited"" 
will appear next to the timestamp",1
17,Comment - Edit - cancel,"",Automated,Shiran Dadon,,PASSED,07-Apr-2019  13:14,27-Feb-2019  19:27,30-Mar-2019  11:05,"",Moderation,Conversation,,"","Testing the ability to update a comment.
Edit -  is a feature that lets the user change their comment after they clicking post.","1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)write a comment
4)Click ""post""
5)Hover over the comment
6)Click on the context menu icon
7)Choose edit
8)Change the comment
9)Click cancel",1)Your comment will not be changed,1
18,Comment - Anonymize,"",Ready,Shiran Dadon,,PASSED,07-Apr-2019  10:19,27-Feb-2019  19:27,08-May-2019  09:11,"",Moderation,Conversation,,"","Testing the ability of a user to anonymize his comment
Go anonymous - is a feature that lets user make his comment anonymous","1)Log in
2)Go to moderation tab
2)Hover over the comment
3)Click on the context menu icon
4)Choose ""Go anonymous""",1)The comments profile picture and name will disappear and the comment will appear as a guest's comment,1
19,Comment - Delete,"",Automated,Shiran Dadon,,PASSED,23-Apr-2019  14:17,27-Feb-2019  19:27,29-Mar-2019  06:06,"",Moderation,Conversation,Sanity,"","Testing the ability to delete a comment
Delete - is a feature that lets the user delete their comment after posting it.","1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)write a comment
4)Click ""post""
5)Hover over the comment
6)Click on the context menu icon
7)Choose delete
8)refresh the page","1)The comment will be deleted
2)After the refresh the comment will still not appear",1
20,Add a reply,"",Automated,Shiran Dadon,,PASSED,23-Apr-2019  14:16,27-Feb-2019  19:27,30-Mar-2019  13:48,"",Moderation,Conversation,Sanity,"","Testing if adding a reply works
reply - is a feature in the conversation that lets a user reply to a comment or reply to a reply","1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)To a comment click reply
3)write a reply
4)Click ""post""",The reply will be added with an indentation,1
21,Reply - Update,"",Automated,Shiran Dadon,,PASSED,07-Apr-2019  10:20,27-Feb-2019  19:27,08-May-2019  09:10,"",Moderation,Conversation,,"","Testing the ability to update a reply.
Edit - is a feature that lets the user change their reply after they clicking post.","1)1)Go to admoin panel -> moderation tab
2)Hover over the comment
3)Click on the context menu icon
4)Choose edit
5)Change the comment
6)Click update","1)After clicking edit - a SayCtrl will appear with the reply the user wants to update
2)After clicking update the new text will appear in the conversation",1
22,Reply - Anonymize,"",Ready,Shiran Dadon,,PASSED,07-Apr-2019  10:20,27-Feb-2019  19:27,08-May-2019  09:10,"",Moderation,Conversation,,"","Testing the ability of a user to anonymize his reply
Go anonymous - is a feature that lets user make his reply anonymous","1)Log in
2)Go to moderation tab
2)Hover over the reply you added
3)Click on the context menu icon
4)Choose ""Go anonymous""",1)The reply's profile picture and name will disappear and the comment will appear as a guest's comment,1
23,Reply - Delete,"",Automated,Shiran Dadon,,PASSED,07-Apr-2019  10:21,27-Feb-2019  19:27,08-May-2019  09:10,"",Moderation,Conversation,,"","Testing the ability to delete a reply
Delete - is a feature that lets the user delete their reply after posting it.","1)Go to admoin panel -> moderation tab
2)Hover over the reply
3)Click on the context menu icon
4)Choose delete
5)refresh the page","1)The reply will be deleted
2)After the refresh the reply will still not appear",1
24,Like a comment,"",Automated,Shiran Dadon,,PASSED,23-Apr-2019  14:19,27-Feb-2019  19:27,30-Mar-2019  22:42,"",Rank,Conversation,Sanity,"",Liking a comment in the conversation,"1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Like a comment",The number of likes to the comment will increase by one,1
25,Dislike a comment,"",Automated,Shiran Dadon,,PASSED,23-Apr-2019  14:15,27-Feb-2019  19:27,30-Mar-2019  22:56,"",Rank,Conversation,Sanity,"",Disliking a comment in the conversation,"1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Dislike a comment",The number of dislikes to the comment will increase by one,1
26,Like a reply,"",Automated,Shiran Dadon,,PASSED,23-Apr-2019  14:19,27-Feb-2019  19:27,31-Mar-2019  22:30,"",Rank,Conversation,Sanity,"",Liking a reply in the conversation,"1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Like a reply",The number of likes to the reply will increase by one,1
27,Dislike a reply,"",Automated,Shiran Dadon,,PASSED,23-Apr-2019  14:17,27-Feb-2019  19:27,31-Mar-2019  22:29,"",Rank,Conversation,Sanity,"",Disliking a reply in the conversation,"1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Dislike a reply",The number of dislikes to the reply will increase by one,1
28,Share - desktop,"",Ready,Shiran Dadon,,PASSED,23-Apr-2019  14:16,27-Feb-2019  19:27,05-Apr-2019  07:34,"",Share,Conversation,Sanity,"","Testing the share feature -
Share is a feature that gives you the ability to share a comment or a reply through social media","1)Go to:https://preview.c9users.io/borisyuz/staging_env/Manual/post1.html on desktop
3)Scroll to a comment
2)Click on the share icon","1)Four options to share will appear:
-Facebook
-Twitter
-Email
-Link
2)These BI event will fire:
-Share button clicked",1
29,Share - Facebook/Twitter,"",Ready,Shiran Dadon,,PASSED,21-Mar-2019  13:39,27-Feb-2019  19:27,05-Apr-2019  07:31,"",Share,Conversation,,"",Sharing a community with social services,"1)Do TC340
2)Choose Twitter/Facebook",1)A window will open up to finish sharing the community on facebook or twitter,1
30,Share - Email,"",Ready,Shiran Dadon,,PASSED,21-Mar-2019  13:43,27-Feb-2019  19:27,05-Apr-2019  07:31,"",Share,Conversation,,"",Sharing community with an email,"1)Do TC340
2)Choose the email icon",1)Your email will open up to share the community,1
31,Share - Link,"",Ready,Shiran Dadon,,PASSED,21-Mar-2019  13:44,27-Feb-2019  19:27,05-Apr-2019  07:31,"",Share,Conversation,,"",Sharing community with a link,"1)Do TC340
2)Choose link
3)Copy the link
4)Paste and go","1)The link that will appear will be the link to the comment
2)After pasting the link you will be redirected to the conversation and scrolled to the comment",1
32,Share  - Android,"",Ready,Shiran Dadon,,FAILED,21-Mar-2019  13:44,27-Feb-2019  19:27,05-Apr-2019  07:31,"",Share,Conversation,,"",Sharing on Android,"1)Go to:https://preview.c9users.io/borisyuz/staging_env/Manual/post1.html
2)Click share",1)Clicking on the share button will open the device native share dialog.,1
33,Share - IOS,"",Ready,Shiran Dadon,,NO RUN,21-Mar-2019  14:37,27-Feb-2019  19:27,05-Apr-2019  07:31,"",Share,Conversation,,"",Sharing on IOS,"1)Go to:https://preview.c9users.io/borisyuz/staging_env/Manual/post1.html
2)Click the share button",1)Will look as the attached design,1
34,Report - comment with no replies,"",Automated,Shiran Dadon,,PASSED,07-Apr-2019  11:12,27-Feb-2019  19:27,14-Apr-2019  21:23,"",Moderation,Conversation,,"",Testing the ability to report a comment with replies.Report - is the ability of a user to report an offensive comment.,"1)Go to:https://preview.c9users.io/borisyuz/staging_env/Manual/post1.html
2)Hover over a comment with replies
3)Click on the context menu icon
4)Choose report",1)The comment will disappear from the reporters view. ,1
35,Report - comment With replies,"",Ready,Shiran Dadon,,PASSED,07-Apr-2019  11:13,27-Feb-2019  19:27,05-Apr-2019  07:31,"",Moderation,Conversation,,"","Testing the ability to report a comment with replies.
Report - is the ability of a user to report an offensive comment.","1)Go to:https://preview.c9users.io/borisyuz/staging_env/Manual/post1.html
2)Hover over a comment with replies
3)Click on the context menu icon
4)Choose report",1)The comment will disappear from the reporters view but the replies will stay,1
36,Report - Reply,"",Ready,Shiran Dadon,,PASSED,23-Apr-2019  14:18,27-Feb-2019  19:27,05-Apr-2019  07:31,"",Moderation,Conversation,Sanity,"","Testing the ability to report a reply
Report - is the ability of a user to report an offensive reply.","1)Go to:https://preview.c9users.io/borisyuz/staging_env/Manual/post1.html
2)Hover over a reply
3)Click on the context menu icon
4)Choose report",1)The reply will disappear from the reporters view but the replies will stay,1
37,Report - Reply with replies,"",Ready,Shiran Dadon,,PASSED,07-Apr-2019  11:13,27-Feb-2019  19:27,05-Apr-2019  07:31,"",Moderation,Conversation,,"","Testing the ability to report a reply with replies.
Report - is the ability of a user to report an offensive reply.","1)Go to:https://preview.c9users.io/borisyuz/staging_env/Manual/post1.html
2)Hover over a reply with replies
3)Click on the context menu icon
4)Choose report",1)The reply will disappear from the reporters view but the replies will stay,1
38,User profile - mine,"",Ready,Shiran Dadon,,PASSED,21-Mar-2019  14:40,27-Feb-2019  19:27,05-Apr-2019  07:31,"",Profile,Conversation,,"",Opening your user profile,"1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Log in
3)Click on your username
4)Choose profile",The modal of your profile will open,1
39,User profile - other,"",Ready,Shiran Dadon,,PASSED,21-Mar-2019  14:40,27-Feb-2019  19:27,05-Apr-2019  07:31,"",Profile,Conversation,,"",Opening a user profile modal that is not yours,"1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on a user's avatar",Their modal will open up,1
40,Notifications - In view,"",Ready,Shiran Dadon,,PASSED,31-Mar-2019  13:42,27-Feb-2019  19:27,05-Apr-2019  07:31,"",Notification,Conversation,,"",Notifications - is a feature that notifies a user when they are replies to or their comment is mentioned or they are mentioned,"1)Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Log in
3)Click on the notification bell, 
4)Click on a notification that is in view(A notification that appear in the conversation you are currently without the need to click ""Show more comment"")",1)The message will be highlighted and you will be scrolled to the message,1
41,Notifications - Not in view,"",Ready,Shiran Dadon,,PASSED,31-Mar-2019  13:43,27-Feb-2019  19:27,05-Apr-2019  07:39,"",Notification,Conversation,,"",Notifications - is a feature that notifies a user when they are replies to or their comment is mentioned or they are mentioned,"1)Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Log in
3)Click on the notification bell
4)Click on a notification that is not in view(A notification that appear in the conversation and you need to click ""Show more comment"" to see it)","The message will appear as the first 
message in the conversation and highlighted",1
42,Notifications - different conversation,"",Ready,Shiran Dadon,,PASSED,23-Apr-2019  14:15,27-Feb-2019  19:27,21-Apr-2019  12:08,"",Notification,Conversation,Sanity,"",Notifications - is a feature that notifies a user when they are replies to or their comment is mentioned or they are mentioned,"1)Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Log in
3)Click on the notification bell
4)click on a notification from a different 
conversation","1)You will be redirected to the conversation
the notification is from, and the message 
will be highlighted.",1
43,Sticky - From recircualtion,"","",Shiran Dadon,,PASSED,21-Mar-2019  14:45,27-Feb-2019  19:27,27-Feb-2019  19:27,"",Notification,Conversation,,"",Sticky is a feature that when a user is redirected to a different conversation he has the ability to choose to see the comment that redirected him.,"1)Go to:https://preview.c9users.io/borisyuz/staging_env/Manual/post1.html
2)Click on a comment from the recirculation
3)Click ""view in conversation""","1)You will be redirected to the conversation with
the comment, a sticky will appear with the comment and a 
button ""view in conversation"".
2)You will be scrolled down to the conversation and the 
message will be highlighted",1
44,Sticky - From newsfeed,"","",Shiran Dadon,,PASSED,21-Mar-2019  14:46,27-Feb-2019  19:27,27-Feb-2019  19:27,"",Notification,Conversation,,"","","1)Go to:https://preview.c9users.io/borisyuz/staging_env/Manual/post1.html
2)Click on a comment from the newsfeed
3)Click ""view in conversation""","1)You will be redirected to the conversation with
the comment, a sticky will appear with the comment and a 
button ""view in conversation""
2)You will be scrolled down to the conversation and the 
message will be highlighted",1
45,Sticky - From email,"",Ready,Shiran Dadon,,N/A,21-Mar-2019  14:46,27-Feb-2019  19:27,05-Apr-2019  07:45,"",Notification,Conversation,,"",Sticky is a feature that when a user is redirected to a different conversation he has the ability to choose to see the comment that redirected him.,"1)Go to your mail
2)Click on a comment from the email
3)Click ""view in conversation""","1)You will be redirected to the conversation with
the comment, a sticky will appear with the comment and a 
button ""view in conversation""
2)You will be scrolled down to the conversation and the 
message will be highlighted",1
46,Facebook login,"",Automated,Shiran Dadon,,PASSED,21-Mar-2019  13:01,27-Feb-2019  19:27,25-Mar-2019  13:26,"",Login,News Feed,,"",pre step: enable newsfeed,"1) Open {{browser}}
2) Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click login
3)open the newsfeed
4)Click log in
3)Choose Facebook",You will be logged in as the facebook user,1
47,Twitter login,"",Automated,Shiran Dadon,,PASSED,21-Mar-2019  13:09,27-Feb-2019  19:27,24-Mar-2019  09:43,"",Login,News Feed,,"",pre step: enable newsfeed,"1)Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click login
3)open the newsfeed
4)Click log in
3)Choose Twitter",You will be logged in as the twitter user,1
48,Google login,"",Automated,Shiran Dadon,,PASSED,21-Mar-2019  13:10,27-Feb-2019  19:27,24-Mar-2019  09:43,"",Login,News Feed,,"",pre step: enable newsfeed,"1)Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click login
3)open the newsfeed
4)Click log in
3)Choose Google",You will be logged in as the email user,1
49,Email login,"",Automated,Shiran Dadon,,PASSED,21-Mar-2019  13:11,27-Feb-2019  19:27,24-Mar-2019  09:43,"",Login,News Feed,,"",Testing emai login,"1)Go to:https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click login
3)open the newsfeed
4)Click log in
5)Choose Facebook
6)Enter username and password
7)Click log in",You will be logged as the email user,1
50,User profile,"",Automated,Shiran Dadon,,PASSED,21-Mar-2019  13:11,27-Feb-2019  19:27,15-Apr-2019  11:22,"",Login,News Feed,,"",Opening your user profile,"1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)open the newsfeed
3)Click on your username
4)Choose profile",The modal of your profile will open,1
51,USA - VPN - Validation,"",Ready,Shiran Dadon,,PASSED,23-Apr-2019  09:46,27-Feb-2019  19:27,15-Apr-2019  11:24,"",VPN,Conversation,production-verification,"",Testing conversation on USA VPN,"1)Go to a conversation
2)Turn on USA VPN
3)Run the conversation sanity","1)The conversation will load
2)Te conversation will act as in the Israeli VPN",1
52,EU - VPN - Validation,"",Ready,Shiran Dadon,,NO RUN,23-Apr-2019  09:46,27-Feb-2019  19:27,15-Apr-2019  11:24,"",VPN,Conversation,production-verification,"",Testing conversation on EU VPN,"1)Go to a conversation
2)Turn on EU VPN
3)Run the conversation sanity","1)The conversation will load
2)Te conversation will act as in the Israeli VPN",1
53,Image Upload - Conversation,"",Ready,Shiran Dadon,,PASSED,21-Mar-2019  14:47,27-Feb-2019  19:27,05-Apr-2019  07:45,"",SayCTL,Conversation,,"","","1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Click on SayConrol
3)write a comment
4)Click on the camera icon","The image upload dialog will open with the only showing this supported format: jpg, png, gif, webp",1
54,Image Upload - Profile image,"",Ready,Shiran Dadon,,PASSED,21-Mar-2019  14:47,27-Feb-2019  19:27,05-Apr-2019  07:45,"",Profile,Conversation,,"","","1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Log in
3)Click on your username
4)Choose profile
5)Click to change profile picture","The image upload dialog will open with the only showing this supported format: jpg, png, gif, webp",1
55,Image Upload - Cover Image,"",Ready,Shiran Dadon,,FAILED,25-Mar-2019  13:37,27-Feb-2019  19:27,05-Apr-2019  07:45,"",Profile,Conversation,,"","","1)Go to: https://dynamic-cdn.staging-spot.im/modules/launcher/demos/deferred/conversation-only.html
2)Log in
3)Click on your username
4)Choose profile
5)Click to edit profile
6)Click to change the cover photo","The image upload dialog will open with the only showing this supported format: jpg, png, gif, webp",1
56,"Moderation - Change moderation to ""approve all""","",Ready,Shiran Dadon,,NO RUN,"",27-Feb-2019  20:53,05-Apr-2019  07:45,"",,Open API,,"","Moderation - Change moderation to ""approve all""",1)Send a GET request to:https://open-api.spot.im/conversation-policy/spot/{spotID}/post/{postID}/approve all?token={token} with the correct data and token,"The posts policy will change to ""approve all""",1
57,"Moderation - Change moderation to ""require_approval""","",Ready,Shiran Dadon,,NO RUN,"",27-Feb-2019  20:53,05-Apr-2019  07:45,"",,Open API,,"","Moderation - Change moderation to ""require_approval""",1)Send a GET request to:https://open-api.spot.im/conversation-policy/spot/{spotID}/post/{postID}/require_approval?token={token} with the correct data and token,"The posts policy will change to  ""require_approval""",1
58,"Moderation - Change moderation to ""publish_and_moderate""","",Ready,Shiran Dadon,,NO RUN,"",27-Feb-2019  20:53,05-Apr-2019  07:45,"",,Open API,,"","Moderation - Change moderation to ""publish_and_moderate""",1)Send a GET request to:https://open-api.spot.im/conversation-policy/spot/{spotID}/post/{postID}/publish_and_moderate?token={token} with the correct data and token,"The posts policy will change to ""publish_and_moderate""",1
59,"Moderation - Change moderation to ""spot_policy""","",Ready,Shiran Dadon,,NO RUN,"",27-Feb-2019  20:53,05-Apr-2019  07:45,"",,Open API,,"","Moderation - Change moderation to ""spot_policy""",1)Send a GET request to:https://open-api.spot.im/conversation-policy/spot/{spotID}/post/{postID}/spot_policy?token={token} with the correct data and token,"The posts policy will change to ""spot_policy""",1
60,Moderation - Get Moderation per Article,"",Ready,Shiran Dadon,,NO RUN,"",27-Feb-2019  20:53,05-Apr-2019  07:45,"",,Open API,,"",Moderation - Get Moderation per Article,"1)Do TC632
2)GET: https://open-api.spot.im/conversation-policy/spot/{spotID}/post/{postID}?token={token}
1)Do TC633
2)GET: https://open-api.spot.im/conversation-policy/spot/{spotID}/post/{postID}?token={token}
1)Do TC634
2)GET: https://open-api.spot.im/conversation-policy/spot/{spotID}/post/{postID}?token={token}
1)Do TC635
2)GET: https://open-api.spot.im/conversation-policy/spot/{spotID}/post/{postID}?token={token}","1)You will get spot policy: approve all
2)You will get spot policy: require_approval
3)You will get spot policy: publish_and_moderate
4)You will get spot policy: spot_policy",1
61,Change Moderation - no authentication,"",Ready,Shiran Dadon,,NO RUN,"",27-Feb-2019  20:53,05-Apr-2019  07:45,"",,Open API,,"",Change Moderation - no authentication,1)Send a GET request to:https://open-api.spot.im/conversation-policy/spot/{spotID}/post/{postID}/approve all?token={token} with the correct data and no token,"1)You will get ""SpotTokenIsMissingError""",1
62,Change Moderation - bad authentication,"",Ready,Shiran Dadon,,NO RUN,"",27-Feb-2019  20:53,05-Apr-2019  07:45,"",,Open API,,"",Change Moderation - bad authentication,1)Send a GET request to:https://open-api.spot.im/conversation-policy/spot/{spotID}/post/{postID}/approve all?token={token} with the correct data and incorrect token,"1)You will get ""SpotTokenNotFoundError""",1
63,Change Moderation - invalid fields,"",Automated,Shiran Dadon,,NO RUN,"",27-Feb-2019  20:53,27-Feb-2019  20:57,"",,Open API,,"",Change Moderation - invalid fields,1)Send a GET request to:https://open-api.spot.im/conversation-policy/spot/{spotID}/post/{postID}/approve all?token={token} with incorrect fields,"1)you will get ""TokenSpotIsNotTheExpectedSpotError"" or 400 errornrequest",1
64,Change Moderation - missing fields,"",Automated,Shiran Dadon,,NO RUN,"",27-Feb-2019  20:53,27-Feb-2019  20:57,"",,Open API,,"",Change Moderation - missing fields,1)Send a GET request to:https://open-api.spot.im/conversation-policy/spot/{spotID}/post/{postID}/approve all?token={token} with missing fields,1)You will get 400 error request,1
65,Get Moderation - no authentication,"",Automated,Shiran Dadon,,NO RUN,"",27-Feb-2019  20:53,27-Feb-2019  20:57,"",,Open API,,"",Get Moderation - no authentication,"1)GET: https://open-api.spot.im/conversation-policy/spot/{spotID}/post/{postID}?token={token}
with no token","1)You will get ""SpotTokenIsMissingError""",1
66,Get Moderation - bad authentication,"",Automated,Shiran Dadon,,NO RUN,"",27-Feb-2019  20:53,27-Feb-2019  20:57,"",,Open API,,"",Get Moderation - bad authentication,"1)GET: https://open-api.spot.im/conversation-policy/spot/{spotID}/post/{postID}?token={token}
with the wrong token","1)You will get ""SpotTokenNotFoundError""",1
67,Get Moderation - invalid fields,"",Automated,Shiran Dadon,,NO RUN,"",27-Feb-2019  20:53,27-Feb-2019  20:57,"",,Open API,,"",Get Moderation - invalid fields,"
1)GET: https://open-api.spot.im/conversation-policy/spot/{spotID}/post/{postID}?token={token}
with the wrong token",1)You will get 400 error request,1
68,Get Moderation - missing fields,"",Automated,Shiran Dadon,,NO RUN,"",27-Feb-2019  20:53,27-Feb-2019  20:57,"",,Open API,,"",Get Moderation - missing fields,"1)GET: https://open-api.spot.im/conversation-policy/spot/{spotID}/post/{postID}?token={token}
with the wrong token","
1)You will get 400 error request",1
69,Replies Count - Get Replies Count,"",Automated,Shiran Dadon,,NO RUN,"",27-Feb-2019  20:53,27-Feb-2019  20:57,"",,Open API,,"",Replies Count - Get Replies Count,1)GET:https://open-api.spot.im/v1/messages-count?spot_id=SPOT_ID&posts_ids=POST_ID with correct fields,1)You will get the count for the post you requested,1
